Chromosome	Chromosome_Coord	FC_FWvsOC
groupI	1239226	0.954330004
groupXV	1603005	0.902422929
groupVIII	4731464	1.146365264
groupXIX	6875898	0.840550531
groupI	1244245	1.533954186
groupV	6679279	0.477350569
groupXV	1635997	0.869551529
groupVI	6368383	0.99327824
groupXXI	11189186	0.932325242
groupXVI	10601938	1.160860969
groupXXI	11191819	0.754738816
groupI	1267419	0.922658974
groupXVII	3671374	0.949655141
groupXXI	11197252	0.598515052
groupXVI	10639056	2.310801572
groupXV	1657299	0.931968651
groupXX	3863775	0.915466075
groupXVIII	2511425	0.930680805
groupX	7942557	0.885224588
groupI	1280708	1.000981732
groupXVI	10646561	1.051638789
groupXI	1298091	1.271585473
groupX	7960678	1.03006987
groupXIII	3319065	1.019922628
groupVI	6418224	1.025605519
groupXV	1670786	1.418048508
groupXI	1308215	0.918789672
groupI	1285513	0.931214804
groupXIX	6879153	0.735428896
groupXXI	11252856	1.363320526
groupXIX	6882164	0.930472574
groupX	7971052	0.854185434
groupXI	1329163	0.906164112
groupXIII	3625228	1.096668805
groupXVIII	2524484	1.274880104
groupXIX	6887445	1.026265665
groupX	7975452	0.989404518
groupXX	3892397	0.964770281
groupXIII	3638180	1.486562469
groupXVIII	2551296	0.878824412
groupXII	5903014	1.127033631
groupXVII	3681644	0.972542771
groupXIX	6889578	1.032365675
groupXIX	6898690	0.925516434
groupX	7977568	0.944557551
groupXV	1680301	1.180330474
groupXIII	3654608	0.841404554
groupVIII	4850788	1.100878411
groupXXI	11270382	1.147082009
groupX	7980224	1.198947838
groupXVI	10655109	0.818528954
groupI	1316720	1.046590803
groupXX	4024354	0.876927685
groupVI	6427361	0.957195604
groupX	7988726	1.065676134
groupI	1325197	0.975916784
groupXXI	11284722	0.847876735
groupXIX	6922718	1.081457576
groupVIII	4858906	1.536827991
groupI	1358873	0.952046166
groupXII	5907975	1.159457711
groupXIX	6926945	2.10515433
groupXIX	6930278	1.932362395
groupX	7990944	1.078595056
groupXI	1334010	1.001336188
groupX	8006059	0.777941245
groupXII	5918521	0.730123077
groupXI	1340314	0.908218204
groupXVII	3689685	1.099688449
groupXXI	11302252	1.028422236
groupXVI	10674234	0.994563005
groupXV	1685012	1.098089589
groupXII	5940495	1.066979917
groupV	6710735	0.944447699
groupVIII	4880566	1.187630483
groupV	6749242	1.143354636
groupI	1376287	0.555916217
groupXVII	3697698	1.052372013
groupXIII	3705603	1.172644557
groupVIII	4896563	0.855702745
groupXI	1349008	1.064339858
groupXIX	6968532	1.4957879
groupI	1389851	0.945061411
groupXVII	3706887	1.114375335
groupXXI	11344594	0.527414494
groupXX	4087139	1.297062253
groupXVI	10703138	0.706416748
groupXXI	11354164	1.018966043
groupV	6810686	0.631227897
groupXX	4131262	1.090467599
groupXVI	10708409	0.634792952
groupXIX	7015340	1.076179898
groupXVI	10730091	0.764689877
groupVI	6453713	0.989404148
groupXI	1357424	1.025625408
groupXXI	11363527	0.794532409
groupXIX	7015257	1.251925356
groupVI	6465536	1.05410602
groupX	8018913	0.935505659
groupXV	1692622	0.950804316
groupV	6829443	1.341080387
groupX	8043221	0.891372572
groupXII	6332681	0.827236012
groupXXI	11380008	0.904107233
groupXI	1363667	0.900970292
groupXX	4214234	0.969932946
groupXXI	11408173	0.932663763
groupXVII	3827083	1.235110122
groupV	6839570	1.269100319
groupXX	4376451	0.938945709
groupXIII	3737380	1.248856726
groupXIX	7018994	1.285830495
groupXVII	3827840	1.011075954
groupI	1398234	1.364090749
groupXVII	3845290	0.334569399
groupVIII	4924632	1.533095814
groupXIX	7026339	1.395984333
groupXII	6400473	1.012035838
groupXVIII	2569969	0.867443026
groupXVI	10864936	1.246233086
groupX	8062624	0.781652455
groupXIX	7034776	0.817575108
groupI	1424420	1.229780777
groupXXI	11457996	0.613830481
groupXII	6403514	0.99503023
groupVI	6481224	1.058140227
groupXXI	11495473	1.272358798
groupXIII	3882633	0.617173982
groupXI	1382624	1.083673106
groupVIII	4932167	0.976538025
groupXII	6422080	0.783044757
groupXIII	3896272	1.166111494
groupXX	4392429	0.954645097
groupXV	1698327	1.195989858
groupXIII	3905768	0.987924647
groupI	1521693	1.362019367
groupXIX	7046384	0.937675048
groupXVIII	2706482	0.753196049
groupXXI	11502028	1.000975567
groupXX	4421157	1.092245441
groupXVII	3859944	0.946439099
groupV	6846386	0.800090805
groupXX	4442195	0.956011097
groupXVII	3871399	0.72084991
groupXVI	10873220	1.196416249
groupXII	6436674	0.585570891
groupI	1550205	1.158332442
groupXIII	3923731	0.975820709
groupXX	4463704	0.998633035
groupVI	6490996	0.986734247
groupX	8076379	0.946920941
groupXVIII	2720669	0.997364198
groupXXI	11512782	1.122402336
groupI	1564494	1.032866569
groupXVII	3905427	1.016288931
groupXIX	7058420	1.329324635
groupXII	6445487	4.746459905
groupXV	1748227	0.909155945
groupXXI	11558940	1.211344619
groupVIII	4938271	1.124206823
groupXIII	3934449	1.148710663
groupXVII	3919380	1.057639396
groupV	6874094	0.757440255
groupVI	6680213	1.057171651
groupXIII	3946303	1.499539801
groupXXI	11658660	1.08090553
groupXI	1428289	0.824729332
groupXXI	11662859	1.085245614
groupV	6899524	1.119548841
groupXII	6457912	0.871660439
groupXXI	11690826	0.95162652
groupX	8100826	0.778082122
groupXV	1780674	1.009290584
groupV	6972831	0.840937204
groupI	1585645	1.05164036
groupXXI	11697616	0.93208951
groupXX	4527845	0.941937365
groupX	8103929	0.852314684
groupXI	1441410	1.110972731
groupXIX	7066043	1.381271114
groupX	8110335	0.933781988
groupXX	4648576	0.998231652
groupXII	6462028	0.94167747
groupVI	6884489	0.963458702
groupXX	4681902	1.02752257
groupI	1752425	1.408881173
groupX	8124572	1.142434583
groupXII	6544980	0.817659287
groupXI	1447757	0.890879084
groupXVI	10878030	1.087484549
groupXVII	3932560	1.125066264
groupXVIII	2868303	0.692743715
groupXX	4974547	0.922643927
groupXIX	7080657	0.984847395
groupV	7009705	0.942493938
groupXX	4982020	1.106005916
groupX	8129964	1.047216487
groupXIX	7087409	1.369176016
groupXII	6594432	0.837895712
groupI	1758712	1.233815477
groupXI	1655691	0.976930993
groupV	7033111	1.134722966
groupXIII	3952070	0.826219012
groupXI	1660532	0.830401477
groupXII	6648682	1.092296725
groupXI	1678461	0.781523247
groupXXI	11710822	1.060556822
groupXIII	3964872	0.880249015
groupXI	1711571	0.803621904
groupXIX	7095126	0.899094225
groupXI	1721618	0.845976573
groupI	1763666	1.119656567
groupVIII	4940966	1.253477695
groupXI	1916679	1.173840774
groupV	7044532	1.022958857
groupVIII	4947803	0.964476847
groupV	7048170	0.912532262
groupXII	6734787	1.139139459
groupXVII	3943455	1.259466891
groupXI	1930266	0.693262831
groupI	1842688	0.732123423
groupXX	4990954	1.229553163
groupXIII	3976075	0.903648385
groupXIII	3982283	0.884033693
groupXI	1943768	1.102120447
groupX	8132823	0.991564635
groupXII	6746634	1.166423952
groupVIII	4956073	0.891261668
groupXIII	3991139	0.867524949
groupXIX	7103809	1.07146979
groupXI	1954050	0.933923611
groupXIII	4006113	0.896829695
groupXVI	10923493	1.05009066
groupXVIII	2939353	0.828068023
groupXX	5002850	1.250147278
groupXII	6754914	1.225250501
groupXVI	10941009	1.010333155
groupVIII	5013917	0.846087337
groupXVII	3951558	1.08187066
groupXVII	3958368	0.728450945
groupXVIII	2955821	0.772549694
groupI	1878990	0.995358594
groupXX	5026242	0.981521564
groupVI	6902336	0.938620175
groupVIII	5058384	0.552536709
groupXIII	4019726	0.967039171
groupVIII	5063410	0.46708135
groupV	7548609	1.757048292
groupXVIII	2989377	1.106182434
groupXV	1892126	1.350804185
groupXV	1898961	0.685070752
groupX	8140260	0.798154161
groupVIII	5070019	0.256337022
groupV	7602384	1.161453896
groupXIII	4053923	0.86726538
groupXX	5036437	1.919932057
groupV	7625896	0.881723628
groupVIII	5102136	1.449487474
groupXIX	7118176	0.55128564
groupXII	6845379	1.056008803
groupXV	1901881	0.754732054
groupXV	1901948	0.436161913
groupI	1886612	1.146652297
groupX	8156309	0.958384134
groupXII	6899504	1.204090854
groupXI	2016656	1.421949581
groupI	1888875	0.957867498
groupXI	2026622	0.822576862
groupXV	1955567	1.007854157
groupXVII	3968144	0.904405018
groupXIII	4078644	1.522635615
groupXII	6909617	0.991209831
groupXVI	10954129	0.913662943
groupXII	6920393	1.00079087
groupXVI	10955477	0.860164272
groupI	1903858	1.041698687
groupXIX	7130828	0.971418346
groupXVI	10989845	1.094931802
groupX	8178727	0.864166175
groupXIX	7188939	1.237584261
groupXV	1968665	1.218535049
groupX	8191752	1.059443306
groupXII	6933180	1.06562849
groupI	1913199	0.687146433
groupXII	6941338	1.163328225
groupI	1921886	0.936884712
groupX	8219827	1.109991793
groupXVI	11005809	1.010438694
groupXV	1988133	0.890999284
groupXIX	7199343	1.060326126
groupXII	7002417	1.139888856
groupXX	5038597	1.302729606
groupXX	5044051	1.02851699
groupXVI	11037937	0.936984493
groupXVII	3976864	1.215571387
groupVIII	5121400	0.87650166
groupXI	2174049	0.972385792
groupI	1925646	0.966485562
groupXX	5048623	0.881962984
groupI	1953903	0.760004365
groupXVII	4042618	1.314506728
groupI	1967631	0.78475448
groupX	8230037	1.031239279
groupXII	7053739	1.13878289
groupXVII	4109186	0.67940479
groupXV	1994505	0.645978695
groupVI	6962578	1.463372917
groupXIII	4083878	1.003458102
groupXV	1997180	1.072694968
groupXII	7080441	0.848514401
groupX	8264233	0.919603004
groupXVI	11092470	0.773691611
groupI	1972525	1.020482945
groupXVI	11116725	0.970708847
groupVI	6982703	1.058792752
groupXII	7105192	0.616681697
groupXI	2189363	1.050564497
groupXVII	4115099	1.07391776
groupXV	2004395	0.993287544
groupX	8281098	0.778489285
groupXII	7136554	1.237030314
groupXIX	7206018	1.064344125
groupXVIII	3012043	0.881465894
groupX	8286059	0.737098936
groupXVIII	3019944	1.13672364
groupXVI	11170001	0.674097464
groupX	8287439	1.039856021
groupXII	7159521	1.0781355
groupXI	2189570	1.016074646
groupXII	7163720	0.501188608
groupXI	2240289	0.976630176
groupI	2003148	1.368416643
groupXII	7168727	1.267332931
groupXIX	7226848	1.248772409
groupXVI	11188656	1.002409144
groupXI	2278849	1.13320132
groupXII	7176476	1.239394615
groupVI	6993496	0.755814946
groupXV	2051077	1.197992281
groupI	2006403	1.170381453
groupX	8292860	0.920315257
groupXVII	4124285	0.512142906
groupI	2016326	1.153730182
groupXI	2303977	0.950502174
groupVIII	5614556	1.240356893
groupXVI	11209545	0.743230668
groupXV	2084924	1.499915333
groupXII	7186841	1.240641803
groupXVIII	3030222	1.2900981
groupXI	2357360	0.853419091
groupVI	7009590	1.299296339
groupI	2032850	0.976027635
groupX	8324621	1.056360593
groupXX	5059978	0.606980559
groupXIII	4087577	0.693142643
groupXII	7198362	0.915354756
groupXX	5068169	0.490808004
groupXVIII	3060381	0.989838112
groupXX	5075182	0.662557956
groupXIX	7240280	0.890722596
groupI	2044558	0.772127959
groupXI	2376592	0.903548961
groupVIII	5624751	2.03339739
groupXX	5096278	0.733459533
groupXII	7286747	0.949758731
groupXX	5105080	2.359828341
groupXIX	7248707	0.943138297
groupVIII	5630884	0.967482576
groupXX	5117258	0.976487879
groupXV	2092390	1.028080009
groupXI	2393304	1.045718289
groupXVIII	3118090	0.28568386
groupX	8377154	0.976451148
groupXII	7326985	1.166127171
groupXX	5182827	1.13066163
groupVI	7061934	1.302824795
groupX	8385115	0.78586804
groupXIX	7255741	0.854478634
groupI	2080424	1.092870988
groupXVII	4136256	0.878704344
groupXI	2411296	1.102443037
groupVIII	5634991	1.06603915
groupX	8416469	1.184299507
groupXVII	4144339	1.053271354
groupI	2097779	1.131398028
groupXI	2449043	1.078542448
groupX	8428210	0.660646703
groupVIII	5660699	0.884510759
groupVIII	5813981	0.450460234
groupVI	7071981	0.820556386
groupXVI	11459853	1.040571192
groupXV	2135103	0.941303174
groupXIX	7271575	0.909768595
groupI	2140103	1.798167935
groupXVII	4152969	0.996351672
groupI	2152635	1.017210082
groupVI	7083515	1.320447805
groupX	8434809	0.742082551
groupXV	2166723	1.043750509
groupV	7806971	0.800612411
groupXIII	4193694	0.775076479
groupXII	7410862	0.865435816
groupXII	7414411	0.879220685
groupXI	2452972	0.93867127
groupVIII	5835799	1.075651149
groupXV	2171760	0.480692384
groupVIII	5831934	1.075733525
groupXVII	4173532	0.922180583
groupX	8587102	0.979480371
groupXVI	11486761	0.743102882
groupXIX	7336308	0.94300779
groupXVIII	3126105	0.318916868
groupXIII	4205489	1.174459799
groupI	2159064	0.786664837
groupVIII	5850922	1.416969783
groupXVII	4216598	0.852380145
groupXIII	4390686	0.953902479
groupX	8627883	0.799614237
groupI	2164276	0.544085556
groupVIII	5859752	1.422210569
groupXVI	11512440	1.377643788
groupXV	2186174	0.952260304
groupV	7859562	1.705230879
groupXV	2196396	1.242140109
groupX	8637209	0.956801101
groupXVI	11515749	1.145641553
groupXI	2483654	1.070763542
groupVIII	5867180	0.986360505
groupXIX	7354568	1.111334393
groupXVII	4215633	0.665676768
groupXI	2494556	0.918935822
groupXVII	4232499	0.540236564
groupVI	7124401	0.800813118
groupX	8645948	0.995395193
groupVIII	5894070	0.934691751
groupXVI	11520902	1.097542586
groupXIX	7362692	1.109433347
groupXV	2217398	1.44481009
groupXI	2504950	0.960524681
groupXII	7418408	0.787512148
groupXVI	11571654	0.988765986
groupI	2169636	1.205998504
groupXII	7424803	1.08165621
groupXIX	7367085	1.322603212
groupXVIII	3153337	0.975371813
groupX	8663116	1.147485768
groupI	2173031	1.003125839
groupVI	7219469	0.99772636
groupI	2177699	0.775271742
groupXX	5189920	1.062667462
groupX	8671920	0.998392254
groupV	7971421	0.970228963
groupXI	2515601	1.744536643
groupXV	2236536	1.431848391
groupXVI	11576486	0.989741758
groupXX	5195530	0.44895786
groupXIX	7378493	0.934314675
groupXI	2520720	0.661639765
groupXII	7456350	0.954685781
groupXV	2263549	0.90393339
groupX	8697302	1.168022113
groupI	2192628	1.178358619
groupXVI	11589268	1.012117031
groupXVIII	3182895	0.677448882
groupXIX	7399877	0.72905486
groupXVIII	3209426	0.998212754
groupXI	2528310	2.161376144
groupXVI	11610414	0.812259323
groupX	8707092	1.020284375
groupXII	7487608	0.903602674
groupXIX	7406604	1.226155222
groupVIII	5911741	0.723101793
groupXV	2273873	0.703981559
groupXIX	7414152	0.876661308
groupXI	2532618	0.934817824
groupXX	5277820	0.749243902
groupXI	2534363	0.939434891
groupXIII	4543117	1.09898373
groupXI	2540179	1.115974914
groupXV	2299905	1.52577234
groupX	8734218	1.022652987
groupI	2200669	0.772916446
groupVI	7291695	0.928269725
groupVIII	5964548	0.850180753
groupXI	2547273	0.958496732
groupXII	7509035	0.868761416
groupXVIII	3244862	1.064257548
groupXX	5329310	0.977433193
groupI	2210087	0.900382181
groupXV	2336874	0.93793207
groupXIII	4553643	1.015316368
groupXIX	7427188	0.974188421
groupX	8743865	0.736487818
groupXIII	4566179	0.538749581
groupVIII	6005850	0.858014687
groupV	8018873	0.956892007
groupI	2219138	1.007165678
groupX	8763320	0.972425374
groupXX	5368768	0.944926508
groupXVII	4537702	1.717661351
groupXV	2394416	1.249303649
groupXII	7512762	0.962966076
groupXVI	11632649	1.158547715
groupVIII	6016357	0.531163864
groupXX	5427715	1.709220223
groupXI	2551776	0.885781072
groupXVIII	3272633	0.857752859
groupVIII	6016287	0.496925715
groupXVII	4548984	1.115914213
groupXX	5443076	1.310764492
groupVIII	6062204	0.840764492
groupXII	7517511	1.140462248
groupX	8769638	0.91484853
groupXII	7520421	1.107612238
groupXVII	4556506	1.123799863
groupXVI	11637918	1.277162435
groupXIX	7437690	0.96474126
groupV	8059968	1.001938509
groupXX	5455421	0.876648915
groupX	8773443	1.080569385
groupXII	7529734	0.928807812
groupVI	7502587	1.092738573
groupI	2231025	0.769276107
groupXI	2564797	1.025346306
groupVI	7508664	1.087972526
groupXIX	7447277	12.06229998
groupXVI	11693997	1.139787201
groupXVII	4592592	0.942710264
groupVIII	6069471	0.960000303
groupX	8787717	0.985134643
groupI	2241305	0.934815698
groupXX	5558833	1.214510495
groupXI	2589275	1.164928417
groupXVII	4636604	1.047831752
groupXII	7549404	0.975661856
groupXV	2460105	1.193545169
groupXX	5566528	1.29491057
groupXVII	4668779	0.703448828
groupXVI	11718780	1.133376933
groupXIX	7463470	0.917566773
groupXX	5568791	0.928084371
groupXVII	4762720	0.915895649
groupXIII	4574297	0.895438112
groupXX	5573185	0.903764144
groupXI	2606749	1.108789494
groupXVIII	3301827	0.600553898
groupVIII	6158072	0.792349398
groupXIX	7480672	1.04255344
groupX	8800987	1.000848992
groupXV	2476545	1.432612638
groupVIII	6324045	0.932147975
groupVI	7578505	1.052511795
groupX	8828049	0.755396703
groupXV	2487074	0.802408518
groupXIX	7492385	0.888791519
groupXVII	4778026	1.090075535
groupI	2257701	0.872157423
groupV	8067879	1.079350226
groupXVII	4790206	1.082248833
groupXII	7556243	1.198398114
groupXX	5583171	1.168368076
groupXVIII	3317030	1.323524809
groupXII	7561488	1.039779106
groupX	8845542	34.48157905
groupVIII	6347070	0.959897982
groupX	8867504	0.867951591
groupXX	5604138	1.315246656
groupXVI	11725830	1.177567996
groupXII	7567747	1.044363956
groupV	8082985	0.984428751
groupXIII	4601799	0.857202229
groupXIX	7509283	1.015232938
groupI	2282668	0.779859032
groupI	2294361	0.977877308
groupVIII	6358439	0.373634721
groupXIII	4610828	0.879146128
groupI	2304946	0.851465787
groupXIX	7517366	1.084439967
groupXIII	4616175	0.873734293
groupI	2316041	1.170837582
groupXV	2498511	0.928714224
groupI	2321210	1.252225941
groupXIII	4623028	0.698970016
groupVI	7591006	1.034497567
groupXVII	4898883	1.117513528
groupXVIII	3349292	1.008490681
groupVIII	6370627	0.834008928
groupXII	7582424	0.871117299
groupI	2699446	2.684930311
groupXX	5614211	0.765842889
groupV	8118952	1.121843954
groupXIX	7536009	0.413351871
groupI	2703969	0.750275512
groupI	2709699	0.799213792
groupXX	5620647	0.930343643
groupVI	7594981	1.233270955
groupXV	2514894	0.924919782
groupXVIII	3380377	1.211606516
groupXIII	4631382	1.016651094
groupXVI	11741434	1.225455343
groupI	2715464	0.96771258
groupXV	2573172	0.881367098
groupXVIII	3390481	1.300803905
groupXV	2612765	0.913593567
groupI	2717664	0.933189121
groupVIII	6395959	2.090660441
groupXV	2615890	0.979679432
groupI	2745517	1.184361299
groupXV	2631981	0.455980368
groupXV	2645955	0.945151786
groupXVIII	3397515	1.413002436
groupVI	7597687	0.874412549
groupXVII	4909403	0.985834755
groupXVIII	3428737	0.951431547
groupVIII	6462184	1.000633595
groupVI	7599789	0.82767719
groupXV	2641373	1.025465097
groupI	2786345	0.965698407
groupVI	7650427	1.194371249
groupXV	2666040	0.836321101
groupXVI	11752574	0.897876541
groupXX	5643389	1.047623356
groupXX	5648113	0.711324752
groupI	2805967	1.008103298
groupXIX	7589114	0.98960948
groupXVI	11787906	1.991252155
groupXV	2672182	0.857964978
groupXV	2675248	0.98485067
groupXX	5655736	0.992276413
groupXIII	4639885	1.071680296
groupXIII	4718757	1.133810267
groupV	8174626	0.982245158
groupXIII	4748633	1.168481456
groupXI	2632630	1.109361492
groupVIII	6550986	1.169311438
groupXII	7626562	1.047179945
groupXIX	7603261	0.930520287
groupXIII	4844272	0.982364257
groupV	8186747	1.101659558
groupVIII	6560565	1.099960029
groupXVII	4915534	1.014606961
groupXIX	7615018	1.318354343
groupXVII	4921705	0.976271594
groupXVI	11884184	0.724613429
groupI	2827114	1.058395669
groupXI	2657239	1.029643839
groupVIII	6567275	1.273533509
groupXI	2690624	0.932943058
groupXIX	7623321	1.183805413
groupXVII	4930448	0.903626971
groupXX	5680008	1.139524805
groupXVI	11908356	1.043425632
groupI	2889777	0.479666059
groupVIII	6566577	1.042953719
groupVIII	6570821	1.148174592
groupXVIII	3459215	1.115774896
groupXVI	11941309	1.180653581
groupXII	7632284	0.850024497
groupXIII	4877663	1.165183695
groupV	8195065	1.064489484
groupXVIII	3484139	0.797093171
groupV	8199054	1.146860484
groupXI	2695645	1.063157802
groupI	2922348	0.657615867
groupXVII	4948416	0.87597052
groupVI	7717243	1.32141714
groupXVIII	3571562	1.040513677
groupX	8863689	0.986973307
groupI	2960687	0.821031617
groupXI	2699164	0.821911346
groupXII	7647784	1.239483957
groupVIII	6611467	0.114450915
groupXIX	7629154	2.33905318
groupXI	2709624	0.8948174
groupXII	7656371	1.701759076
groupX	8881478	1.736611987
groupXI	2744357	1.121412325
groupVI	7729688	1.001501085
groupV	8203889	1.372296367
groupXI	2752816	1.30668695
groupXII	7679651	1.040541733
groupX	8915103	1.357578643
groupXVI	11983371	3.659379104
groupXX	5700039	1.056723
groupXII	7695297	1.007906356
groupXI	2763997	0.974116068
groupXII	7704508	1.092195277
groupXIX	7636659	0.852157678
groupXVI	11996131	0.950567944
groupXIII	4903782	0.941161891
groupVIII	6651649	0.286225226
groupXVI	11999914	0.931663787
groupXVIII	4132646	0.991672061
groupXI	2774072	0.844455215
groupXIII	4933109	0.828683614
groupI	3023006	0.433570962
groupI	3029772	1.262364637
groupXX	5725958	1.106887697
groupXII	7734648	0.894506391
groupXIII	4958119	1.129619749
groupI	3042507	0.912717136
groupXV	2688024	0.902044134
groupXV	2714090	0.948928342
groupVI	7755573	0.782464044
groupI	3049854	0.864873163
groupXVI	12004463	1.044854728
groupX	8970759	0.904658058
groupXIII	4977457	1.091043519
groupXVII	4962182	0.93903923
groupXX	5899428	1.195657676
groupVIII	6659524	1.153687985
groupXV	2729183	0.941664677
groupXIX	7641557	1.312138667
groupXVI	12011902	0.930856857
groupXIII	4986083	1.006097715
groupXIX	7646513	1.197287916
groupI	3058237	0.739155495
groupXII	7753471	1.213196209
groupXVIII	4150001	1.592753464
groupVIII	6667964	1.04090829
groupI	3063201	3.06171674
groupX	9009306	1.246188698
groupX	9039438	1.088862254
groupXII	7762404	1.127618036
groupXVI	12106352	0.7416407
groupXIX	7651470	1.151376915
groupVI	7829710	0.805957084
groupXX	5972952	1.013714596
groupXVI	12123504	1.182231183
groupXV	2738498	0.656542907
groupI	3083237	1.098518244
groupXVI	12132839	0.936502396
groupXVIII	4287756	1.142430764
groupXVII	4966641	1.152113923
groupXX	5988875	0.876530028
groupXV	2742044	1.015962809
groupXVIII	4452767	1.136010973
groupXIX	7655489	1.146059095
groupXIX	7661554	0.933913656
groupXI	2789032	0.657898805
groupI	3087883	1.030659481
groupXX	6005076	0.855215368
groupX	9058738	1.115867209
groupI	3099743	1.183611082
groupXVI	12164750	0.854362454
groupXV	2745362	1.039239292
groupXIX	7669932	1.190690278
groupXV	2749145	0.908162584
groupXVII	4972317	1.343752238
groupXX	6022610	0.821064891
groupXV	2752375	0.942076605
groupX	9063839	0.262088503
groupXVI	12176878	1.187020827
groupXIII	5014696	0.604367155
groupXV	2758417	0.855046499
groupXIII	5019085	1.311389936
groupX	9074777	1.002978359
groupXII	7802094	1.011631752
groupVIII	6674215	0.911468397
groupVI	7846776	0.721975943
groupXV	2778410	1.121136541
groupXIX	7677117	1.077347244
groupXX	6031231	0.996584887
groupV	8247675	1.174881843
groupV	8256079	0.84818343
groupI	3125952	1.344582086
groupXVI	12211800	0.598445291
groupXX	6132291	0.85146108
groupV	8291125	1.179760296
groupVIII	6678592	0.97010544
groupXVII	5003424	0.912202751
groupVI	7853857	0.975497333
groupXVIII	4470219	1.162958276
groupXV	2791447	0.97221095
groupXX	6169484	1.470832509
groupVIII	6683733	1.469501213
groupXIII	5043870	1.092889859
groupX	9086011	0.999822233
groupV	8300853	0.997925831
groupXVI	12229836	1.081145923
groupXIX	7702368	0.92098069
groupXV	2794511	1.506763767
groupXI	2805097	0.879555025
groupXVII	5058173	1.12591219
groupXX	6183886	0.646390035
groupXVII	5083456	0.858083688
groupXI	2833621	0.742383012
groupXVIII	4476816	1.08858266
groupX	9095269	1.07346875
groupXIII	5050169	1.246508506
groupXVI	12240185	1.473116679
groupXVII	5118187	1.306871699
groupXII	7831314	1.264287361
groupXI	2981879	1.010391441
groupXV	2829859	0.75846108
groupI	3147450	0.779760061
groupVI	7864844	1.58737424
groupXVI	12246215	1.125944601
groupXIII	5060634	1.004681783
groupI	3155392	1.047278947
groupX	9117904	1.097812144
groupVIII	6695269	1.668999786
groupXII	7840767	0.700208853
groupXVI	12252747	0.667831503
groupX	9130267	0.828653137
groupXII	7857849	1.261766528
groupXV	2860495	0.161890329
groupXV	2866350	0.892724877
groupX	9139734	0.840374405
groupX	9151717	0.966630962
groupX	9160187	0.364107161
groupXVI	12257629	0.598719183
groupV	8308012	0.98057846
groupXII	7862341	1.178053511
groupX	9162684	0.956946405
groupXX	6218843	0.824559076
groupX	9193832	0.848999821
groupVIII	6705254	1.54492726
groupXVII	5220947	0.920670693
groupXII	7869314	0.951155007
groupXX	6267919	0.906588245
groupXII	7882315	1.004253709
groupXI	2991189	0.552597023
groupVI	7873378	0.943955964
groupXVIII	4533647	0.907016757
groupXII	7889199	1.001154855
groupXI	2998048	0.79975702
groupXVII	5308901	0.93672279
groupXVII	5296361	1.332124267
groupV	8319296	0.642849615
groupVIII	6757965	1.029214899
groupXX	6377560	1.081067154
groupXII	7906370	0.884817393
groupXVI	12262717	0.948704213
groupXVII	5345153	1.055291194
groupI	3176982	0.923170261
groupVI	7881007	0.965724074
groupI	3179389	2.092280622
groupXVIII	4563941	0.898361856
groupI	3188744	1.579192011
groupXII	7969597	0.428321915
groupXVII	5379941	1.259719308
groupXVIII	4617119	0.9054879
groupXVI	12304592	0.75402768
groupXI	3003640	0.673419474
groupX	9202770	1.11786578
groupXVII	5390250	0.928410114
groupX	9220553	0.893208833
groupXI	3007731	0.868801233
groupXI	3010806	1.114536447
groupXVII	5402637	1.205903372
groupI	3311457	0.996561702
groupXVI	12329451	1.134512446
groupVI	7886941	1.08945804
groupXVIII	4626273	1.190139671
groupV	8333291	1.006294362
groupXI	3017798	0.75041915
groupX	9229014	1.398646928
groupXVIII	4644102	1.003944439
groupVIII	6776296	0.937200307
groupV	8361159	0.871521613
groupXV	2873855	0.913394202
groupXII	8007286	1.109699917
groupX	9235190	0.162137067
groupXVIII	4661753	0.993139101
groupX	9237239	1.41750511
groupXV	2880539	0.96184469
groupX	9269379	1.278454663
groupV	8377210	0.179178207
groupXIII	5067379	0.921891458
groupXI	3043377	1.121926811
groupVIII	6802209	0.962393062
groupXIX	7717042	1.325304392
groupI	3327999	1.980518791
groupXIX	7719972	1.119841363
groupVI	7887727	1.147989596
groupXIX	7722763	0.971474289
groupVI	7894078	1.185178356
groupXVI	12779733	0.878299082
groupV	8387617	0.675346669
groupXX	6554004	1.197991281
groupXV	2893051	0.989556383
groupXX	6564461	0.812428897
groupVI	7908918	1.350018893
groupXV	2897732	1.058671275
groupXVI	12806980	0.860830259
groupXI	3108849	0.786736965
groupXII	8108828	1.236675204
groupV	8397502	1.321725128
groupXV	2902606	0.806269632
groupVIII	6937460	0.347422105
groupI	3335686	1.137189112
groupXII	8123206	0.59045598
groupXIII	5115535	1.105090302
groupI	3343070	0.983986285
groupVIII	6949175	1.441558272
groupXX	6591694	1.078389453
groupXIX	7737582	1.176421886
groupV	8408857	0.60956162
groupI	3360285	0.66813934
groupVI	7930327	0.998187501
groupVIII	6959715	1.445538843
groupV	8416607	0.69827097
groupVI	7934243	0.939284998
groupXIII	5125157	1.0467994
groupXII	8141322	1.030558146
groupVI	7938231	0.813475097
groupXVIII	4674631	1.070536724
groupX	9283927	1.185264037
groupXX	6755534	0.575631384
groupXIII	5134776	1.019897579
groupV	8425601	0.954355174
groupXV	2907495	0.974690294
groupVI	7942878	0.95018603
groupV	8451958	0.980630313
groupXX	6868694	0.479987962
groupXIX	7756920	1.077301694
groupXII	8149710	1.070123418
